doi,funderName,funderID,funderIDtype,awardNumber,awardTitle,indexID,funderIndex
10.5061/dryad.n02v6wx0d,Oklahoma Department of Wildlife Conservation,https://ror.org/00bnq0b88,ROR,NA,NA,82,1
10.5061/dryad.k3j9kd59k,United States Fish and Wildlife Service,https://ror.org/04k7dar27,ROR,201818J846,NA,83,1
10.6078/d1142q,Oklahoma Biological Survey,https://ror.org/043cb6104,ROR,NA,NA,85,3
10.5061/dryad.xksn02vhs,Division of Integrative Organismal Systems,https://ror.org/01rvays47,ROR,IOS#0924289,NA,87,1
10.5061/dryad.xksn02vhs,Division of Integrative Organismal Systems,https://ror.org/01rvays47,ROR,IOS#1256867,NA,87,2
10.5061/dryad.xksn02vhs,University of Oklahoma,https://ror.org/02aqsxs83,ROR,LJW01,NA,87,3
10.5061/dryad.0zpc86701,National Science Foundation,https://ror.org/021nxhr62,ROR,IOS-1413824,NA,88,1
10.5061/dryad.n2z34tmzb,Genome Canada,https://ror.org/029s29983,ROR,NA,NA,90,1
10.5061/dryad.n2z34tmzb,Genome Alberta,https://ror.org/0008rqs82,ROR,NA,NA,90,2
10.5061/dryad.n2z34tmzb,Genome British Columbia,https://ror.org/03gne5057,ROR,NA,NA,90,3
10.5061/dryad.q2bvq83kw,National Science Foundation,https://ror.org/021nxhr62,ROR,IOS-1557860,NA,92,1
10.5061/dryad.q2bvq83kw,National Science Foundation,https://ror.org/021nxhr62,ROR,IOS-1931657,NA,92,2
10.5061/dryad.05qfttf3w,National Science Foundation,https://ror.org/021nxhr62,ROR,NA,NA,93,2
10.5061/dryad.mw6m905xh,European Research Council,https://ror.org/0472cxd90,ROR,FP7/2007-2013,NA,94,1
10.5061/dryad.mw6m905xh,Science Foundation Ireland,https://ror.org/0271asj38,ROR,14/ERC/B3118,NA,94,2
10.5061/dryad.sxksn033w,National Science Foundation,https://ror.org/021nxhr62,ROR,1339332,NA,97,1
10.5061/dryad.ncjsxksvx,Oklahoma Department of Wildlife Conservation,https://ror.org/00bnq0b88,ROR,F15AF00615,NA,98,1
10.5061/dryad.3r2280ggv,National Science Foundation,https://ror.org/021nxhr62,ROR,DMS 1616186,NA,99,1
10.5061/dryad.3r2280ggv,National Science Foundation,https://ror.org/021nxhr62,ROR,DEB 1457510,NA,99,2
10.5061/dryad.3r2280ggv,National Science Foundation,https://ror.org/021nxhr62,ROR,DEB 1457473,NA,99,3
10.5061/dryad.t4b8gtj2m,National Science Foundation,https://ror.org/021nxhr62,ROR,IOS-1942893,NA,100,1
10.5061/dryad.t4b8gtj2m,National Science Foundation,https://ror.org/021nxhr62,ROR,DEB-1655812,NA,100,2
10.5061/dryad.t4b8gtj2m,Oklahoma State University System,https://ror.org/045ntgf29,ROR,Startup funding to DSM,NA,100,3
10.5061/dryad.z612jm6cg,Oklahoma Department of Wildlife Conservation,https://ror.org/00bnq0b88,ROR,Federal Aid Grant No. F11AF00069 (W-165-R-1),NA,101,1
10.5061/dryad.t4b8gtj2d,National Science Foundation,https://ror.org/021nxhr62,ROR,OIA-1301789,NA,102,1
10.5061/dryad.t76hdr81b,Oklahoma Department of Wildlife Conservation,https://ror.org/00bnq0b88,ROR,NA,NA,103,1
10.5061/dryad.pzgmsbcm8,"Consejo Nacional de Humanidades, Ciencias y Tecnologías",https://ror.org/059ex5q34,ROR,585440,NA,104,2
10.5061/dryad.m0cfxpp43,European Research Council,https://ror.org/0472cxd90,ROR,617509,NA,105,1
10.5061/dryad.m0cfxpp43,Science Foundation Ireland,https://ror.org/0271asj38,ROR,14/ERC/B3118,NA,105,2
10.5061/dryad.vq83bk3sj,Deutsche Forschungsgemeinschaft,https://ror.org/018mejw64,ROR,NU292/4-1,NA,106,1
10.5061/dryad.vq83bk3sj,Coordenação de Aperfeicoamento de Pessoal de Nível Superior,https://ror.org/00x0ma614,ROR,#1514632,NA,106,2
10.25338/b8sh0s,National Science Foundation,https://ror.org/021nxhr62,ROR,1817124,NA,107,1
10.5061/dryad.w9ghx3fpp,National Science Foundation,https://ror.org/021nxhr62,ROR,MRI-1531128,NA,109,1
10.5061/dryad.w9ghx3fpp,National Science Foundation,https://ror.org/021nxhr62,ROR,DEB-1655812,NA,109,2
10.5061/dryad.k6djh9w61,United States Department of Agriculture,https://ror.org/01na82s61,ROR,ND02394,NA,110,1
10.5061/dryad.fn2z34tss,Oklahoma Department of Wildlife Conservation,https://ror.org/00bnq0b88,ROR,F17AP00203,NA,111,1
10.5061/dryad.05qfttf28,Deutsche Forschungsgemeinschaft,https://ror.org/018mejw64,ROR,596/1-1 (32951824),NA,114,1
10.5061/dryad.05qfttf28,Deutsche Forschungsgemeinschaft,https://ror.org/018mejw64,ROR,"596/1-2 (430158535, SPP 2205)",NA,114,2
10.5061/dryad.05qfttf28,Deutsche Forschungsgemeinschaft,https://ror.org/018mejw64,ROR,Ro 547/12-1,NA,114,3
10.5061/dryad.05qfttf28,National Science Foundation,https://ror.org/021nxhr62,ROR,IRFP 1158968,NA,114,4
10.5061/dryad.rfj6q578p,National Science Foundation,https://ror.org/021nxhr62,ROR,"
        BSR-8914686, DEB-9629529, DEB-0089680, DEB-0640932, DEB-1242510, and
        IOS-1257857
      ",NA,116,1
10.5061/dryad.rfj6q578p,National Institute on Aging,https://ror.org/049v75w11,ROR,R01AG049416,NA,116,2
10.5061/dryad.31zcrjdjr,European Research Council,https://ror.org/0472cxd90,ROR,641918,NA,117,1
10.5061/dryad.31zcrjdjr,European Research Council,https://ror.org/0472cxd90,ROR,794760,NA,117,2
10.5061/dryad.31zcrjdjr,National Science Foundation,https://ror.org/021nxhr62,ROR,GRF 1252375,NA,117,3
10.5061/dryad.31zcrjdjr,National Science Foundation,https://ror.org/021nxhr62,ROR,DEB 0919383,NA,117,4
10.5061/dryad.31zcrjdjr,Alaska Department of Fish and Game,https://ror.org/02rh7vj17,ROR,NA,NA,117,5
10.5061/dryad.31zcrjdjr,United States Department of the Interior,https://ror.org/03v0pmy70,ROR,NA,NA,117,6
10.5061/dryad.31zcrjdjr,Frankfurt Zoological Society,https://ror.org/002827k23,ROR,NA,NA,117,10
10.5061/dryad.31zcrjdjr,Knobloch Family Foundation,https://ror.org/052nwcv16,ROR,NA,NA,117,12
10.5061/dryad.31zcrjdjr,Muley Fanatic Foundation,https://ror.org/037gaxk79,ROR,NA,NA,117,14
10.5061/dryad.31zcrjdjr,Parks Canada,https://ror.org/008sy4716,ROR,NA,NA,117,16
10.5061/dryad.31zcrjdjr,University of Wyoming,https://ror.org/01485tq96,ROR,Berry Fellowship,NA,117,18
10.5061/dryad.31zcrjdjr,United States Department of Agriculture,https://ror.org/01na82s61,ROR,NA,NA,117,19
10.5061/dryad.31zcrjdjr,National Institute of Food and Agriculture,https://ror.org/05qx3fv49,ROR,2014-01928,NA,117,20
10.5061/dryad.31zcrjdjr,Wyoming Wildlife and Natural Resource Trust,https://ror.org/0275a3771,ROR,NA,NA,117,26
10.5061/dryad.bk3j9kd9g,European Research Council,https://ror.org/0472cxd90,ROR,ERC Consolidator Grant “Evoecocog” Project No. 617509,NA,119,1
10.5061/dryad.bk3j9kd9g,Science Foundation Ireland,https://ror.org/0271asj38,ROR,NA,NA,119,3
10.5061/dryad.z612jm69w,Oklahoma Department of Wildlife Conservation,https://ror.org/00bnq0b88,ROR,F18AF00110,NA,120,1
10.5061/dryad.34tmpg4ht,National Science Foundation,https://ror.org/021nxhr62,ROR,#1745197,NA,121,1
10.5061/dryad.bcc2fqz9w,National Science Foundation,https://ror.org/021nxhr62,ROR,IOS-1353703,NA,122,1
10.5061/dryad.bcc2fqz9w,National Science Foundation,https://ror.org/021nxhr62,ROR,IOS-1353743,NA,122,2
10.5061/dryad.bcc2fqz9w,National Science Foundation,https://ror.org/021nxhr62,ROR,IOS-1353691,NA,122,3
10.5061/dryad.bcc2fqz9w,National Science Foundation,https://ror.org/021nxhr62,ROR,IOS-1353683,NA,122,4
10.5061/dryad.02v6wwq1n,National Research Foundation of Korea,https://ror.org/013aysd81,ROR,NRF-2017R1A2B4006761,NA,123,1
10.5061/dryad.1zcrjdfqg,European Research Council,https://ror.org/0472cxd90,ROR,617509,NA,124,1
10.5061/dryad.1zcrjdfqg,Science Foundation Ireland,https://ror.org/0271asj38,ROR,14/ERC/B3118,NA,124,2
10.5061/dryad.z08kprr9s,National Science Foundation,https://ror.org/021nxhr62,ROR,DEB-1655812,NA,125,1
10.5061/dryad.z08kprr9s,National Science Foundation,https://ror.org/021nxhr62,ROR,DEB-1655690,NA,125,2
10.5061/dryad.z08kprr9s,National Science Foundation,https://ror.org/021nxhr62,ROR,IOS-1942893,NA,125,3
10.5061/dryad.h70rxwdgj,Office of Biological and Environmental Research,https://ror.org/0114b2m14,ROR,DE-FC02-07ER64494,NA,129,1
10.5061/dryad.h70rxwdgj,Office of Biological and Environmental Research,https://ror.org/0114b2m14,ROR,DE-SC0014156,NA,129,2
10.5061/dryad.h70rxwdgj,Office of Biological and Environmental Research,https://ror.org/0114b2m14,ROR,DE-SC0017883,NA,129,3
10.5061/dryad.h70rxwdgj,Office of Biological and Environmental Research,https://ror.org/0114b2m14,ROR,DE-SC0018409,NA,129,4
10.5061/dryad.h70rxwdgj,Division of Integrative Organismal Systems,https://ror.org/01rvays47,ROR,IOS-1444533,NA,129,5
10.5061/dryad.h70rxwdgj,Division of Integrative Organismal Systems,https://ror.org/01rvays47,ROR,IOS-0922457,NA,129,6
10.5061/dryad.h70rxwdgj,Office of Science,https://ror.org/00mmn6b08,ROR,DE-AC02-05CH11231,NA,129,7
10.5061/dryad.5hqbzkh2x,National Science Foundation,https://ror.org/021nxhr62,ROR,IOS-1353703,NA,133,1
10.7280/d1295x,National Science Foundation,https://ror.org/021nxhr62,ROR,DEB-1655812,NA,134,1
10.5061/dryad.nk98sf7pz,Oklahoma State University,https://ror.org/01g9vbr38,ROR,NA,NA,137,2
10.5061/dryad.cn63cj7,National Science Foundation,https://ror.org/021nxhr62,ROR,1256867,NA,150,1
10.5061/dryad.df564,National Science Foundation,https://ror.org/021nxhr62,ROR,OIA-1301789,NA,153,1
10.5061/dryad.7p02c,National Science Foundation,https://ror.org/021nxhr62,ROR,DEB 07-16149,NA,155,1
10.5061/dryad.6fv68,National Science Foundation,https://ror.org/021nxhr62,ROR,DEB-0842327,NA,159,1
10.5061/dryad.f30r1,National Science Foundation,https://ror.org/021nxhr62,ROR,"
        U.S. National Science Foundation (NSF-IOS-OEI) collaborative grants
        #0924289 and #1256881 to Lawrence J. Weider and Grant #0924401 to
        Punidan Jeyasingh.
      ",NA,163,1
10.5061/dryad.r8ph6,National Science Foundation,https://ror.org/021nxhr62,ROR,Grant No. IIA-1301789 and Grant No.1413900,NA,170,1
10.5285/ea6ff6d0-a2da-418f-ac6f-7e6b777e40c5,Natural Environment Research Council,https://ror.org/02b5d8509,ROR,NE/P011578/1,NA,194,1
10.5281/zenodo.5738015,National Science Foundation,https://doi.org/10.13039/100000001,Crossref Funder ID,1838988,EAGER:  Combining elemental and biochemical measures of prey to improve predictions of trophic transfers of nutrients,258,1
10.5281/zenodo.5738015,Research Councils UK,https://doi.org/10.13039/501100000690,Crossref Funder ID,BB/M009122/1,"South West Biosciences: A Doctoral Training Programme for Bioscience students at Bristol, Bath, Cardiff, Exeter and Rothamsted Research",258,2
10.5281/zenodo.5738015,Research Councils UK,https://doi.org/10.13039/501100000690,Crossref Funder ID,NE/L002434/1,GW4+ - a consortium of excellence in innovative research training,258,3
10.5281/zenodo.5738015,Research Councils UK,https://doi.org/10.13039/501100000690,Crossref Funder ID,BBS/E/C/000J0200,The Rothamsted Insect Survey - National Capability,258,4
10.5281/zenodo.5738016,National Science Foundation,https://doi.org/10.13039/100000001,Crossref Funder ID,1838988,EAGER:  Combining elemental and biochemical measures of prey to improve predictions of trophic transfers of nutrients,259,1
10.5281/zenodo.5738016,Research Councils UK,https://doi.org/10.13039/501100000690,Crossref Funder ID,BB/M009122/1,"South West Biosciences: A Doctoral Training Programme for Bioscience students at Bristol, Bath, Cardiff, Exeter and Rothamsted Research",259,2
10.5281/zenodo.5738016,Research Councils UK,https://doi.org/10.13039/501100000690,Crossref Funder ID,NE/L002434/1,GW4+ - a consortium of excellence in innovative research training,259,3
10.5281/zenodo.5738016,Research Councils UK,https://doi.org/10.13039/501100000690,Crossref Funder ID,BBS/E/C/000J0200,The Rothamsted Insect Survey - National Capability,259,4
10.5061/dryad.1g1jwsv1f,Hatch Program*,NA,NA,OKL03193,NA,59,4
10.5061/dryad.pzgmsbcpx,National Institute for Agriculture*,NA,NA,2018-68008-28090,NA,76,1
10.5061/dryad.pzgmsbcpx,National Institute for Agriculture*,NA,NA,2020-67019-31153,NA,76,2
10.5061/dryad.cvdncjt6f,Hatch Program funding*,NA,NA,OKL03193,NA,79,2
10.5061/dryad.n02v6wx0d,Hatch Program*,NA,NA,OKL03193,NA,82,2
10.5061/dryad.pzgmsbcm8,CONACyT*,NA,NA,585440,NA,104,1
10.5061/dryad.vq83bk3sj,CNPQ – Productivity Fellowship*,NA,NA,307396/2019-3,NA,106,3
10.5061/dryad.bk3j9kd9g,Leverhulme Trust Early Career Fellowship*,NA,NA,ECF-2018-700,NA,119,2
10.5061/dryad.bk3j9kd9g,Leverhulme Trust Early Career Fellowship,NA,NA,ECF-2018-700,NA,119,4
10.5061/dryad.gtht76hjh,"Eusko Jaurlaritza, Department of the Environment *",NA,NA,"
        Subvenciones 2019 a entidades privadas que realicen proyectos para la
        generación de conocimiento en la conservación del Patrimonio Natural
      ",NA,127,1
10.5061/dryad.gtht76hjh,Aurrenak S. Coop*,NA,NA,Subvenciones 2019,NA,127,2
10.5061/dryad.gtht76hjh,"Eusko Jaurlaritza, Department of the Environment",NA,NA,"
        Subvenciones 2019 a entidades privadas que realicen proyectos para la
        generación de conocimiento en la conservación del Patrimonio Natural
      ",NA,127,3
10.5061/dryad.gtht76hjh,Aurrenak S. Coop,NA,NA,Subvenciones 2019,NA,127,4
10.3886/e100361v1-136280,National Science Foundation,NA,NA,SES-1324000,NA,220,1
10.6084/m9.figshare.26737455,NA,NA,NA,NA,NA,1,NA
10.6084/m9.figshare.26737455.v1,NA,NA,NA,NA,NA,2,NA
10.6084/m9.figshare.26737452,NA,NA,NA,NA,NA,3,NA
10.6084/m9.figshare.26737452.v1,NA,NA,NA,NA,NA,4,NA
10.6084/m9.figshare.26082696,NA,NA,NA,NA,NA,5,NA
10.6084/m9.figshare.26082696.v1,NA,NA,NA,NA,NA,6,NA
10.6084/m9.figshare.24499342,NA,NA,NA,NA,NA,7,NA
10.6084/m9.figshare.24499342.v1,NA,NA,NA,NA,NA,8,NA
10.6084/m9.figshare.26728348,NA,NA,NA,NA,NA,9,NA
10.6084/m9.figshare.26728345.v1,NA,NA,NA,NA,NA,10,NA
10.6084/m9.figshare.26728345,NA,NA,NA,NA,NA,11,NA
10.6084/m9.figshare.26728348.v1,NA,NA,NA,NA,NA,12,NA
10.6084/m9.figshare.26695164,NA,NA,NA,NA,NA,13,NA
10.6084/m9.figshare.26695164.v1,NA,NA,NA,NA,NA,14,NA
10.6084/m9.figshare.26605141,NA,NA,NA,NA,NA,15,NA
10.6084/m9.figshare.26605144.v1,NA,NA,NA,NA,NA,16,NA
10.6084/m9.figshare.26605141.v1,NA,NA,NA,NA,NA,17,NA
10.6084/m9.figshare.26605144,NA,NA,NA,NA,NA,18,NA
10.5061/dryad.n8pk0p338,NA,NA,NA,NA,NA,21,NA
10.5281/zenodo.11402713,NA,NA,NA,NA,NA,22,NA
10.5281/zenodo.12629557,NA,NA,NA,NA,NA,23,NA
10.5281/zenodo.12629522,NA,NA,NA,NA,NA,24,NA
10.5281/zenodo.12629468,NA,NA,NA,NA,NA,25,NA
10.5281/zenodo.11402714,NA,NA,NA,NA,NA,26,NA
10.5061/dryad.76hdr7t4g,NA,NA,NA,NA,NA,27,NA
10.5061/dryad.37pvmcvtn,NA,NA,NA,NA,NA,28,NA
10.3886/e204941v1,NA,NA,NA,NA,NA,29,NA
10.3886/e204941,NA,NA,NA,NA,NA,30,NA
10.5061/dryad.vhhmgqnw3,NA,NA,NA,NA,NA,31,NA
10.5281/zenodo.11099762,NA,NA,NA,NA,NA,38,NA
10.5281/zenodo.11099763,NA,NA,NA,NA,NA,39,NA
10.5061/dryad.6djh9w172,Fritz Knopf*,NA,NA,NA,NA,43,1
10.5061/dryad.7h44j101d,Johnson’s Family Forest Biotechnology Endowment*,NA,NA,NA,NA,44,2
10.5061/dryad.cjsxksncq,E. Paul and Helen Buck Waggoner Foundation*,NA,NA,NA,NA,45,1
10.5061/dryad.83bk3j9x1,W.T. Waggoner Estate*,NA,NA,NA,NA,53,2
10.5061/dryad.m37pvmd71,Grace Hopper College Richter Summer Fellowship*,NA,NA,NA,NA,54,5
10.5061/dryad.k6djh9wbs,Oklahoma Cooperative Fish and Wildlife Research Unit*,NA,NA,NA,NA,56,1
10.5061/dryad.1g1jwsv1f,Groendyke Endowment*,NA,NA,NA,NA,59,2
10.5061/dryad.1g1jwsv1f,Bollenbach Endowment*,NA,NA,NA,NA,59,3
10.5061/dryad.12jm63z25,Minnesota Sports Facilities Authority*,NA,NA,NA,NA,64,1
10.5061/dryad.12jm63z25,"Minnesota Vikings, LLC*",NA,NA,NA,NA,64,2
10.5061/dryad.kd51c5b95,NA,NA,NA,NA,NA,66,NA
10.5061/dryad.r4xgxd2gw,NA,NA,NA,NA,NA,70,NA
10.5061/dryad.tx95x6b1t,Oklahoma State University startup funds*,NA,NA,NA,NA,74,1
10.5061/dryad.pzgmsbcpx,Oklahoma State University Hatch*,NA,NA,NA,NA,76,3
10.5061/dryad.pzgmsbcpx,University of Wyoming Agricultural Experiment Station*,NA,NA,NA,NA,76,4
10.5061/dryad.cvdncjt6f,Groendyke Endowement*,NA,NA,NA,NA,79,3
10.5061/dryad.cvdncjt6f,Bollenbach Endowment*,NA,NA,NA,NA,79,4
10.5061/dryad.c2fqz61b6,NA,NA,NA,NA,NA,81,NA
10.5061/dryad.n02v6wx0d,Groendyke Endowement*,NA,NA,NA,NA,82,3
10.5061/dryad.n02v6wx0d,Bollenbach Endowment*,NA,NA,NA,NA,82,4
10.5061/dryad.5dv41ns7m,NA,NA,NA,NA,NA,84,NA
10.6078/d1142q,North American Bluebird Society*,NA,NA,NA,NA,85,1
10.6078/d1142q,New York State Bluebird Society*,NA,NA,NA,NA,85,2
10.6078/d1142q,Oklahoma Ornithological Society*,NA,NA,NA,NA,85,4
10.6078/d1142q,Louis Stokes Alliance for Minority Participation*,NA,NA,NA,NA,85,5
10.5061/dryad.3xsj3txj3,NA,NA,NA,NA,NA,86,NA
10.5061/dryad.sxksn034z,NA,NA,NA,NA,NA,89,NA
10.25338/b8m62w,NA,NA,NA,NA,NA,91,NA
10.5061/dryad.05qfttf3w,Pine Cay Homeowners Association*,NA,NA,NA,NA,93,1
10.25338/b81m00,NA,NA,NA,NA,NA,95,NA
10.5061/dryad.9kd51c5hz,NA,NA,NA,NA,NA,96,NA
10.25338/b8sh0s,UC Davis Chancellor’s postdoc fellowship*,NA,NA,NA,NA,107,2
10.5061/dryad.nzs7h44rd,NA,NA,NA,NA,NA,108,NA
10.25338/b8n33j,NA,NA,NA,NA,NA,112,NA
10.5061/dryad.4qrfj6q8x,NA,NA,NA,NA,NA,113,NA
10.5061/dryad.dz08kprwg,NA,NA,NA,NA,NA,115,NA
